date,portfolio_value,monthly_return,cumulative_return,rolling_60m_cagr,rolling_60m_vol,rolling_60m_sharpe,weight_AGG,weight_SPY,strategy_name,publish_timestamp
2003-09-30,10000.0000000000,0.0000000000,0.0000000000,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2003-10-31,10346.6435247507,0.0346643525,0.0346643525,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2003-11-28,10436.1166770592,0.0086475534,0.0436116677,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2003-12-31,10834.3276714495,0.0381570087,0.0834327671,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-01-30,10998.5803297580,0.0151603923,0.0998580330,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-02-27,11140.7272812488,0.0129241181,0.1140727281,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-03-31,11060.2806073256,-0.0072209535,0.1060280607,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-04-30,10820.6715463387,-0.0216639224,0.0820671546,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-05-28,10938.1005044837,0.0108522801,0.0938100504,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-06-30,11103.6595076355,0.0151359921,0.1103659508,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-07-30,10884.0498029370,-0.0197781375,0.0884049803,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-08-31,10955.4572322672,0.0065607408,0.0955457232,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-09-30,11049.4235328214,0.0085771227,0.1049423533,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-10-29,11177.8045096421,0.0116187941,0.1177804510,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-11-30,11501.3451851592,0.0289449216,0.1501345185,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2004-12-31,11771.3612373401,0.0234769106,0.1771361237,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
2005-01-31,11603.8533499395,-0.0142301204,0.1603853350,,,,0.3000000000,0.7000000000,beta_70_30,2026-02-22T01:25:19+00:00
